,Sample,Subsample,DAS sample name,nEvtGen,xSec (pb) (GenXsec),xSec (pb) (Used),Lumi (pb-1),Comments ...,xSec(AN),Lumi (using AN),,,  
,,,,,,,,,,,,,
,,WWTo2L2Nu,WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,7043000,1.109e+01 +- 7.040e-03,11.0900,635076.6456,,11.08,635649.8195,,,
,,WWTo4Q,WWTo4Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,39443728,5.115e+01 +- 2.407e-01,51.1500,771138.3773,,,,,,
,WpWp,WpWpJJEWK,WpWpJJ_EWK_TuneCP5_13TeV-madgraph-pythia8,150000,2.842e-02 +- 4.570e-05,0.04932,3041362.5304,,0.04932,3041362.5304,,,
,,WpWpJJQCD,WpWpJJ_QCD_TuneCP5_13TeV-madgraph-pythia8,,2.376e-02 +- 3.124e-05,0.0238,0.0000,,,,,,
,WZ,WZTo1L1Nu2Q,WZTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,7345742,9.184e+00 +- 4.719e-02,9.1840,799841.2456,,,,,,
,,WZTo2L2Q,WZTo2L2Q_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8,29091996,6.351e+00 +- 9.139e-02,6.3510,4580695.3236,,6.331,4595166.0085,,,
,,WZTo3LNu,WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8,10339582,5.197e+00 +- 1.777e-02,5.1970,1989528.9590,,5.052,2046631.4331,,,
,ZZ,ZZTo2L2Nu,ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8,40839000,9.738e-01 +- 9.971e-04,0.9738,41937769.5625,,0.5644,72358256.5556,,,
,,ZZTo2Q2L,ZZTo2Q2L_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8,29521496,3.703e+00 +- 2.972e-02,3.7030,7972318.6605,,3.688,8004744.0347,,,
,,ZZTo2Q2Nu,ZZTo2Q2Nu_TuneCP5_13TeV-amcatnloFXFX-pythia8,4934394,4.498e+00 +- 2.169e-02,4.4980,1097019.5643,,,,,,
