,2018_UL,,,,,,,,,,
,,,,,,,,,,,
,Data,,,,,,,,,,
,Sample,Subsample,DAS,nEvtTotal,Lumi (pb-1),Original nEvt,Missing data (%),,,,
,SingleMuon,SingleMuon_A,/SingleMuon/Run2018A-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,241608232,,241608232  ,0.0000,,,,
,,SingleMuon_B,/SingleMuon/Run2018B-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,119918017,,119918017  ,0.0000,,,,
,,SingleMuon_C,/SingleMuon/Run2018C-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,109986009,,109986009  ,0.0000,,Color codes,,
,,SingleMuon_D,/SingleMuon/Run2018D-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,513909894,,513909894  ,0.0000,,,Not enough luminosity,
,EGamma,EGamma_A,/EGamma/Run2018A-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,339013231,,339013231  ,0.0000,,,Very wrong xsec,
,,EGamma_B,/EGamma/Run2018B-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,153792795,,153792795  ,0.0000,,,Under process,
,,EGamma_C,/EGamma/Run2018C-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,147827904,,147827904  ,0.0000,,,Highlighted comments,
,,EGamma_D,/EGamma/Run2018D-UL2018_MiniAODv2_NanoAODv9-v3/NANOAOD,751683150,,751683150  ,0.0000,,,Using values from AN,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,MC (SM backgrounds),,,,,,,,,,
,/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1*/NANOAODSIM,,,,,,,,Numbers from Angira's AN,,
,Sample,Subsample,DAS sample name,nEvtGen,xSec (pb) (GenXsec),xSec (pb) (Used),Lumi (pb-1),Comments ...,xSec(AN),Lumi (using AN),
,,,,,,,,,,,
,,400to600,WJetsToLNu_Pt-400To600_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,12404441,3.549e+00 +- 3.579e-02,3.5490,3495193.2939,Not using in my analysis,,,
,,600toInf,WJetsToLNu_Pt-600ToInf_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,3740289,5.388e-01 +- 4.464e-03,0.5388,6941887.5278,Not using in my analysis,,,
,WGamma,WGToLnuG_01J,WGToLNuG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8,34282350,1.924e+02 +- 1.055e+00,489.0000,70107.0552,,489,70107.0552,
,DYJetsToLL,M10to50,DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8,94452816,1.594e+04 +- 4.184e+01,18610,5075.3797,,18610,5075.3797,
,,M50,DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8,195510810,6.448e+03 +- 3.513e+01,5675,34451.2441,,5675,34451.2441,
,ZGamma,ZGToLLG_01J,ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8,29919798,5.049e+01 +- 4.366e-01,50.4900,592588.5918,,172.8,173146.9792,
,,,,,,,,,,,
,VV processes,,,,,,,,,,
,WW,WWTo1L1Nu2Q,WWTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,40272013,5.114e+01 +- 6.865e-01,51.1400,787485.5886,,,,
,,WWTo2L2Nu,WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,9994000,1.109e+01 +- 7.040e-03,11.0900,901172.2272,,11.08,901985.5596,
,,WWTo4Q,WWTo4Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,39541500,5.115e+01 +- 2.407e-01,51.1500,773049.8534,,,,
,WpWp,WpWpJJEWK,WpWpJJ_EWK_TuneCP5_13TeV-madgraph-pythia8,150000,2.842e-02 +- 4.570e-05,0.04932,3041362.5304,,0.04932,3041362.5304,
,,WpWpJJQCD,WpWpJJ_QCD_TuneCP5_13TeV-madgraph-pythia8,150000,2.376e-02 +- 3.124e-05,0.0238,6313131.3131,Not using in analysis,,,
,WZ,WZTo1L1Nu2Q,WZTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,7395487,9.184e+00 +- 4.719e-02,9.1840,805257.7308,,,,
,,WZTo2Q2L,WZTo2Q2L_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8,28576996,6.351e+00 +- 9.139e-02,6.3510,4499605.7314,,6.331,4513820.2496,
,,WZTo3LNu,WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8,9821283,5.197e+00 +- 1.777e-02,5.1970,1889798.5376,,5.052,1944038.5986,
,ZZ,ZZTo2L2Nu,ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8,55300000,9.738e-01 +- 9.971e-04,0.9738,56787841.4459,,0.5644,97980155.9178,
