,Run3Summer22,,,,,,,,,,,,
,Samples are ordered according to their importance,,,,,,,,,,,,
,,,,,,,,,,,,,
,Data,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,,,,,,
,,,,,,,,,,,,,
,Muon_C,/Muon/Run2022C-ReRecoNanoAODv11-v1/NANOAOD,138018846  ,5010.4000,,,,,,,,,
,Muon_D,/Muon/Run2022D-ReRecoNanoAODv11-v1/NANOAOD,75494657  ,2970.0000,,,,,,,,,
,,,,,,,,,,,,,
,EGamma_C,/EGamma/Run2022C-ReRecoNanoAODv11-v1/NANOAOD,263336263  ,5010.4000,262258077,,,,,,,,
,EGamma_D,/EGamma/Run2022D-ReRecoNanoAODv11-v1/NANOAOD,88530905  ,2970.0000,,,,,,,,,
,,,Total,7980.4000,,,,,,,,,
,,,,,,,,,,,,,
,,Golden JSON = https://cms-service-dqmdc.web.cern.ch/CAF/certification/Collisions22/Cert_Collisions2022_355100_362760_Golden.json,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,MC (SM backgrounds),,,,,,,,,,,,
,sample_subsample,Full DAS string,xSec (pb),xSec (pb) (used),nEvtGen,nEvtPass,Accp (%),Lumi (pb-1),Comments/Source,,,Color codes,
,,,,,,,,,,,,,Not enough events
,Single W production,,,,,,,,,,,,Issues to check
,RareTop_THW,/THW_ctcvcp_HIncl_M-125_5FS_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.332e-01 +- 8.549e-05,0.1332,1985777,24010,1.209,14908235.736,,,,,
,RareTop_TTHHto2B,/TTH_Hto2B_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v3/NANOAODSIM,5.742e-01 +- 6.401e-03,0.5742,2989710,6297,0.211,5206739.812,,,,,
,RareTop_TTHHto2Mu,/TTH_Hto2Mu_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v3/NANOAODSIM,5.742e-01 +- 6.401e-03,0.5742,197248,7837,3.973,343517.938,,,,,
,RareTop_TTHHto2Z,/TTH_Hto2Z_4LFilter_M-125_TuneCP5_13p6TeV_powheg-jhugenv752-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,5.607e-01 +- 1.793e-03,0.5607,95869,6747,7.038,170980.917,,,,,
,RareTop_TTTT,/TTTT_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,9.652e-03 +- 9.447e-06,0.0097,2396925,90192,3.763,248334542.064,,,,,
,RareTop_TTWH,/TTWH_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.253e-03 +- 1.129e-06,0.0013,790196,25689,3.251,630643256.185,,,,,
,RareTop_TTWW,/TTWW_TuneCP5_13p6TeV_madgraph-madspin-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,8.160e-03 +- 8.047e-06,0.0082,448443,18318,4.085,54956250.000,,,,,
,RareTop_TTWZ,/TTWZ_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv11-126X_mcRun3_2022_realistic_v2-v2/NANOAODSIM,2.712e-03 +- 1.523e-06,0.0027,272400,7189,2.639,100442477.876,,,,,
,RareTop_TTZH,/TTZH_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.283e-03 +- 8.982e-07,0.0013,798996,11775,1.474,622756040.530,,,,,
,RareTop_TTZZ,/TTZZ_TuneCP5_13p6TeV_madgraph-madspin-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.558e-03 +- 1.628e-06,0.0016,443238,4560,1.029,284491655.969,,,,,
,RareTop_TZQB,/TZQB-Zto2L-4FS_MLL-30_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,7.968e-02 +- 7.800e-05,0.0797,889780,23992,2.696,11166917.671,,,,,
,,,,,,,,,,,,,
,VV,,,,,,,,,,,,
,VVSS_WpWp,/WpWpJJ_EWK-QCD_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,5.859e-02 +- 9.252e-05,0.0586,498628,121811,24.429,8510462.536,,,,,
,VVSS_WmWm,/WmWmJJ-EWK_TuneCP5_13p6TeV-powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.220e-04 +- 2.832e-05,0.0001,149279,46185,30.939,1223598360.656,,,,,
,VV_WWto2L2NuOS,/WWto2L2Nu-2Jets_OS_noTop_EW_TuneCP5_13p6TeV_madgraph-madspin-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.293e-01 +- 3.441e-04,0.3293,98000,253,0.258,297600.972,,,,,
,VV_WWto2L2NuSS,/WWto2L2Nu-2Jets_SS_noTop_EW_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v3/NANOAODSIM,2.951e-02 +- 1.827e-05,0.0295,99271,31296,31.526,3363978.312,,,,,
,VV_WWto4Q,/WWto4Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,5.079e+01 +- 1.816e-02,50.7900,28443500,13,0.000,560021.658,,,,,
,VV_WWtoLNu2Q,/WWtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,4.894e+01 +- 1.750e-02,51.3000,25112824,4069,0.016,489528.733,arXiv:2503.09742 ,,,,
,VV_WZto2L2Q,/WZto2L2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,7.568e+00 +- 3.908e-03,3.7000,4167791,2767,0.066,1126430.000,arXiv:2503.09742 ,,,,
,VV_WZto3LNu,/WZto3LNu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,4.924e+00 +- 2.370e-03,1.8000,2776339,83848,3.020,1542410.556,arXiv:2503.09742 ,,,,
,VV_WZtoLNu2Q,/WZtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.587e+01 +- 7.874e-03,12.4000,8902752,3736,0.042,717963.871,arXiv:2503.09742 ,,,,
,VV_ZZto2L2Nu,/ZZto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.031e+00 +- 5.268e-04,0.7000,14555802,12162,0.084,20794002.857,arXiv:2503.09742 ,,,,
,VV_ZZto2L2Q,/ZZto2L2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,6.788e+00 +- 3.501e-03,2.4000,14664788,9902,0.068,6110328.333,arXiv:2503.09742 ,,,,
,VV_ZZto2Nu2Q,/ZZto2Nu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,4.826e+00 +- 1.296e-03,4.7000,2909958,2,0.000,619140.000,arXiv:2503.09742 ,,,,
,VV_ZZto4L,/ZZto4L_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.390e+00 +- 7.001e-04,0.2000,14629101,220026,1.504,73145505.000,arXiv:2503.09742 ,,,,
,,,,,,,,,,,,,
,VVV,,,,,,,,,,,,
,VVV_WWW,/WWW_4F_TuneCP5_13p6TeV_amcatnlo-madspin-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,2.328e-01 +- 1.247e-04,0.2328,450000,8979,1.995,1932989.691,,,,,
,VVV_WWZ,/WWZ_4F_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.851e-01 +- 9.482e-05,0.1851,1313336,6326,0.482,7095278.228,,,,,
